nome,idade,anos_pm,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,sexo,corraca,fase,bolsista_encoded,ponto_virada_encoded,pedra_encoded,destaque_ieg_resultado,destaque_ida_resultado,destaque_ipv_resultado,destaque_ieg_resultado_encoded,destaque_ida_resultado_encoded,destaque_ipv_resultado_encoded
ALUNO-1,11.0,2,7.883752,Ametista,8.500020000000001,8.7,7.5,7,5.9375,7.75,10,F,R,2,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-3,12.0,2,7.856389666666666,Ametista,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10,F,B,3,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-4,10.0,2,5.076252,Quartzo,8.000020000000001,4.1,6.875,0,7.1875,7.75,5,M,R,1,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-5,10.0,1,8.077085,Ametista,7.50002,8,7.5,7.5,8.4375,8.166665,10,M,R,2,0,0,3,Positivo,Positivo,Positivo,1,1,1
ALUNO-8,14.0,3,8.381390666666666,Ametista,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10,F,R,4,1,1,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-10,13.0,1,5.1618745,Quartzo,5.83333,5.2,3.75,0,7.96875,6.8333325,10,F,B,3,0,0,1,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-11,8.0,0,9.712504000000001,Topázio,9.000020000000001,10,8.125,10,10,10.00001,10,M,R,0,0,1,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-12,14.0,3,5.838887333333334,Quartzo,6.25,6,5.625,6.666666666666667,5.624999999999999,5.277770000000001,5,M,B,3,1,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-14,11.0,2,6.434585,Ágata,8.000020000000001,7.6,6.875,0,8.4375,7.916665,10,F,B,2,0,0,2,Positivo,Negativo,Positivo,1,-1,1
ALUNO-15,12.0,1,5.162502,Quartzo,8.500020000000001,4,7.5,0,8.125,7.25,5,F,B,2,0,0,1,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-17,13.0,2,7.766252,Ametista,9.500020000000001,6.8,7.5,10,6.5625,7.75,5,M,B,1,0,0,3,Negativo,Positivo,Negativo,-1,1,-1
ALUNO-18,14.0,3,7.2055576666666665,Ágata,9.58335,7,7.5,6.5,7.083333333333334,7.944446666666665,5,M,B,3,0,0,2,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-28,13.0,2,9.354725666666667,Topázio,9.58335,9.6,6.875,9,10,9.944453333333334,10,F,R,3,1,1,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-30,7.0,0,7.125001,Ágata,7.9166799999999995,10,7.5,4.75,2.5,6.916665,10,F,B,0,0,0,2,Positivo,Negativo,Positivo,1,-1,1
ALUNO-33,13.0,0,7.013888333333334,Ágata,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10,M,P,3,0,0,2,Negativo,Positivo,Positivo,-1,1,1
ALUNO-34,12.0,2,7.698890666666667,Ametista,8.500020000000001,9.3,6.875,7,8.125,7.944443333333334,5,F,R,2,0,0,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-35,18.0,3,6.64396,Ágata,8.75001,6.1,6.25,5,7.65625,8.29167,5,F,B,7,0,0,2,Negativo,Negativo,Negativo,-1,-1,-1
ALUNO-36,14.0,1,8.307780333333334,Ametista,9.58335,9.9,7.5,8,8.749999999999998,8.222226666666668,5,F,R,3,0,0,3,Positivo,Positivo,Negativo,1,1,-1
ALUNO-37,10.0,2,6.6788913333333335,Ágata,10.000020000000001,7.7,4.375,2.5,6.458333333333333,7.77778,10,M,R,2,0,0,2,Positivo,Negativo,Positivo,1,-1,1
ALUNO-39,13.0,3,8.131388333333334,Ametista,6.24999,9.4,7.5,8.333333333333334,8.541666666666666,6.777780000000001,10,F,P,3,0,0,3,Positivo,Positivo,Positivo,1,1,1
ALUNO-41,11.0,0,7.460002,Ametista,8.000020000000001,8.3,7.5,7.25,7.5,7.75,5,M,R,1,0,0,3,Positivo,Negativo,Negativo,1,-1,-1
ALUNO-43,13.0,2,7.8052090000000005,Ametista,7.5,7.5,7.5,7,7.96875,8.04167,10,F,R,4,0,0,3,Positivo,Negativo,Positivo,1,-1,1
ALUNO-44,9.0,0,6.218335,Ágata,9.000020000000001,6.8,7.5,0,6.25,7.916665,10,M,R,1,0,0,2,Negativo,Negativo,Positivo,-1,-1,1
ALUNO-45,11.0,1,6.631252,Ágata,8.500020000000001,1,7.5,10,7.8125,7.75,5,M,B,1,0,0,2,Negativo,Positivo,Negativo,-1,1,-1
ALUNO-46,8.0,0,6.966669,Ágata,9.500020000000001,10,7.5,0,7.5,7.583335,10,F,R,0,0,0,2,Positivo,Negativo,Positivo,1,-1,1
ALUNO-51,8.0,1,8.955835,Topázio,9.500020000000001,9.8,7.5,10,8.125,7.416665,10,M,R,0,0,0,4,Positivo,Positivo,Positivo,1,1,1
ALUNO-52,10.0,2,8.181112666666667,Ametista,10.000020000000001,8.6,6.25,7,7.916666666666668,8.22222,10,M,R,2,0,0,3,Positivo,Negativo,Positivo,1,-1,1
