nome,idade,anos_pm,fase,sinalizador_ingressante,pedra,inde,iaa,ieg,ips,ida,ipp,ipv,ian,defasagem,sexo,corraca,bolsista_encoded,ponto_virada_encoded,pedra_encoded,fase_ideal,rec_equipe_1_resultado,rec_equipe_2_resultado,rec_equipe_3_resultado,rec_equipe_4_resultado,rec_equipe_1_resultado_encoded,rec_equipe_2_resultado_encoded,rec_equipe_3_resultado_encoded,rec_equipe_4_resultado_encoded,rec_sintese
ALUNO-1,12.0,3.0,2,Ingressante,Ametista,7.319,7.5,6.3,6.9,8.8,7.7,8.1,5.0,-1.0,F,R,1,0,3,3.0,Positivo,Positivo,Neutro,,1.0,1.0,0.0,,1.0
ALUNO-3,13.0,3.0,3,Veterano,Ametista,7.021,7.1,6.9,6.3,5.6,7.3,7.2,10.0,0.0,F,B,0,0,3,3.0,Positivo,Positivo,Neutro,,1.0,1.0,0.0,,1.0
ALUNO-5,11.0,2.0,2,Veterano,Ametista,7.399,7.4,7.5,7.5,5.4,8.5,7.4,10.0,0.0,M,R,0,0,3,2.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-8,15.0,4.0,5,Veterano,Topázio,8.269,8.8,8.6,7.5,7.1,8.0,8.5,10.0,0.0,F,R,1,0,4,5.0,Positivo,Positivo,Positivo,Neutro,1.0,1.0,1.0,0.0,1.0
ALUNO-11,9.0,1.0,1,Veterano,Topázio,8.990,9.0,10.0,6.3,8.8,7.7,9.7,10.0,0.0,M,R,1,1,4,1.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-13,9.0,0.0,0,Ingressante,Quartzo,3.413,8.0,0.0,7.5,0.8,0.0,6.0,5.0,-1.0,F,B,0,0,1,1.0,,,,,,,,,
ALUNO-17,14.0,3.0,1,Veterano,Ágata,6.140,9.5,4.2,7.5,2.6,8.4,8.8,5.0,-2.0,M,B,0,0,2,3.0,,Neutro,Positivo,,,0.0,1.0,,0.0
ALUNO-18,15.0,4.0,4,Veterano,Ágata,5.666,10.0,3.3,6.3,5.3,7.7,5.2,5.0,-1.0,M,B,0,0,2,5.0,Neutro,Positivo,Neutro,Neutro,0.0,1.0,0.0,0.0,0.0
ALUNO-19,13.0,0.0,2,Ingressante,Ágata,6.751,9.0,6.3,7.5,4.6,7.7,8.3,5.0,-1.0,M,R,0,0,2,3.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-28,14.0,3.0,4,Ingressante,Topázio,9.079,8.3,9.2,7.5,8.8,9.4,9.9,10.0,0.0,F,R,1,1,4,4.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-29,15.0,0.0,3,Ingressante,Ágata,6.342,9.6,5.3,7.5,3.8,7.5,7.9,5.0,-2.0,F,R,0,0,2,5.0,Positivo,Positivo,Neutro,,1.0,1.0,0.0,,1.0
ALUNO-34,13.0,3.0,2,Veterano,Ágata,6.129,6.9,2.9,7.5,5.5,7.7,8.7,5.0,-1.0,F,R,0,0,2,3.0,Positivo,Neutro,Neutro,,1.0,0.0,0.0,,0.0
ALUNO-35,19.0,4.0,7,Veterano,Topázio,8.416,9.2,9.4,7.5,8.2,8.4,9.4,5.0,-1.0,F,B,0,1,4,8.0,Positivo,Positivo,Positivo,Positivo,1.0,1.0,1.0,1.0,1.0
ALUNO-36,15.0,2.0,3,Veterano,Ágata,6.246,8.3,6.4,3.8,4.7,7.3,7.9,5.0,-2.0,F,R,0,0,2,5.0,Positivo,Positivo,Neutro,,1.0,1.0,0.0,,1.0
ALUNO-37,11.0,3.0,2,Veterano,Ágata,6.154,0.0,5.4,6.9,6.5,7.5,6.7,10.0,0.0,M,R,0,0,2,2.0,Neutro,Neutro,Neutro,,0.0,0.0,0.0,,0.0
ALUNO-38,13.0,0.0,3,Ingressante,Ágata,6.847,3.8,6.9,7.5,5.1,7.5,7.8,10.0,0.0,F,B,0,0,2,3.0,Neutro,Positivo,Neutro,,0.0,1.0,0.0,,0.0
ALUNO-40,16.0,0.0,5,Ingressante,Ametista,7.334,9.2,7.8,7.5,6.0,8.3,8.0,5.0,-1.0,M,B,0,0,3,6.0,Positivo,Neutro,Positivo,Neutro,1.0,0.0,1.0,0.0,1.0
ALUNO-41,12.0,1.0,2,Veterano,Ágata,6.100,0.0,5.0,7.5,6.8,7.5,8.8,5.0,-1.0,M,R,0,0,2,3.0,Positivo,Positivo,Positivo,,1.0,1.0,1.0,,1.0
