,nome,idade,cg,pedra,inde,iaa,ieg,ips,ida,ipv,ian,ipp,qtd_aval,indicado_bolsa,sexo,ponto_virada_encoded,anos_pm,destaque_ieg_resultado_encoded,destaque_ida_resultado_encoded,destaque_ipv_resultado_encoded,rec_sintese,diff_fase
0,ALUNO-2,11.0,245.0,Ametista,7.675509353106849,10.00002,7.58170509886757,7.5,8.816666666666666,7.916665,5.0,5.625,2.0,Sim,F,0,0.0,1,1,1,1.0,-2.0
1,ALUNO-4,12.0,451.0,Ametista,7.117065047619048,10.00002,8.071428571428571,7.5,5.083333333333334,8.055553333333334,5.0,6.25,3.0,Não,M,0,0.0,1,-1,1,1.0,-1.0
2,ALUNO-5,12.0,415.0,Ametista,7.232336307992202,6.41668,8.557504873294347,7.5,7.083333333333334,7.833336666666667,5.0,6.458333333333334,3.0,Não,M,0,3.0,1,-1,1,0.0,-1.0
3,ALUNO-6,11.0,221.0,Ametista,7.741668666666667,9.000020000000001,9.333333333333332,7.5,5.5,7.5,10.0,6.25,3.0,Não,F,0,0.0,1,-1,1,0.0,0.0
4,ALUNO-7,11.0,357.0,Ametista,7.406743477025898,10.00002,9.314954051796157,7.5,5.583333333333334,7.91667,5.0,5.9375,2.0,Não,M,0,0.0,1,-1,1,1.0,-1.0
5,ALUNO-8,16.0,397.0,Ametista,7.289795442501942,9.16668,8.268065268065268,5.0,7.144444444444445,7.6250025,5.0,7.65625,4.0,Não,F,0,5.0,1,-1,1,1.0,-1.0
6,ALUNO-9,8.0,767.0,Quartzo,5.665746204655248,9.000020000000001,6.820377689942907,5.0,2.133333333333333,5.50001,10.0,3.75,2.0,Não,M,0,0.0,-1,-1,-1,0.0,0.0
7,ALUNO-11,10.0,40.0,Topázio,8.464686539682539,8.000020000000001,9.198412698412698,7.5,9.833333333333332,9.50001,5.0,7.083333333333332,3.0,Não,M,1,2.0,1,1,1,1.0,-1.0
8,ALUNO-16,11.0,489.0,Ágata,6.995504201058202,8.500020000000001,9.33862433862434,6.875,6.333333333333334,6.722219999999999,5.0,4.791666666666666,3.0,Não,F,0,0.0,1,-1,-1,0.0,-1.0
9,ALUNO-17,15.0,580.0,Ágata,6.723325934837093,9.50002,6.647869674185464,7.5,5.5,7.5,5.0,5.9375,2.0,Não,M,0,4.0,-1,-1,1,0.0,-2.0
