nome,ida,diff_fase,ponto_virada_encoded,anos_pm,bolsista_encoded,ipv,corraca,ponto_virada,ian,pedra,pedra_encoded,iaa,ips,ieg,ipp,idade,sexo_encoded,fase,inde,sexo,na_fase,ano
ALUNO-1,7.0,0.0,0,2.0,0,7.75,R,Não,10.0,Ametista,3,8.500020000000001,7.5,8.7,5.9375,11.0,1.0,2,7.883752,F,1,2020
ALUNO-3,5.5,0.0,0,2.0,0,8.111113333333334,B,Não,10.0,Ametista,3,7.91667,7.5,8.9,8.125,12.0,1.0,3,7.856389666666666,F,1,2020
ALUNO-4,0.0,-1.0,0,2.0,0,7.75,R,Não,5.0,Quartzo,1,8.000020000000001,6.875,4.1,7.1875,10.0,0.0,1,5.076252,M,0,2020
ALUNO-5,7.5,0.0,0,1.0,0,8.166665,R,Não,10.0,Ametista,3,7.50002,7.5,8.0,8.4375,10.0,0.0,2,8.077085,M,1,2020
ALUNO-8,7.333333333333333,0.0,1,3.0,1,8.94445,R,Sim,10.0,Ametista,3,8.33334,4.375,9.9,8.749999999999998,14.0,1.0,4,8.381390666666666,F,1,2020
ALUNO-10,0.0,0.0,0,1.0,0,6.8333325,B,Não,10.0,Quartzo,1,5.83333,3.75,5.2,7.96875,13.0,1.0,3,5.1618745,F,1,2020
ALUNO-11,10.0,0.0,1,0.0,0,10.00001,R,Sim,10.0,Topázio,4,9.000020000000001,8.125,10.0,10.0,8.0,0.0,0,9.712504,M,1,2020
ALUNO-12,6.666666666666667,-1.0,0,3.0,1,5.277770000000001,B,Não,5.0,Quartzo,1,6.25,5.625,6.0,5.624999999999999,14.0,0.0,3,5.838887333333334,M,0,2020
ALUNO-14,0.0,0.0,0,2.0,0,7.916665,B,Não,10.0,Ágata,2,8.000020000000001,6.875,7.6,8.4375,11.0,1.0,2,6.434585,F,1,2020
ALUNO-15,0.0,-1.0,0,1.0,0,7.25,B,Não,5.0,Quartzo,1,8.500020000000001,7.5,4.0,8.125,12.0,1.0,2,5.162502,F,0,2020
ALUNO-17,10.0,-2.0,0,2.0,0,7.75,B,Não,5.0,Ametista,3,9.50002,7.5,6.8,6.5625,13.0,0.0,1,7.766252,M,0,2020
ALUNO-18,6.5,-1.0,0,3.0,0,7.944446666666665,B,Não,5.0,Ágata,2,9.58335,7.5,7.0,7.083333333333334,14.0,0.0,3,7.2055576666666665,M,0,2020
ALUNO-28,9.0,0.0,1,2.0,1,9.944453333333334,R,Sim,10.0,Topázio,4,9.58335,6.875,9.6,10.0,13.0,1.0,3,9.354725666666669,F,1,2020
ALUNO-30,4.75,0.0,0,0.0,0,6.916665,B,Não,10.0,Ágata,2,7.916679999999999,7.5,10.0,2.5,7.0,1.0,0,7.125001,F,1,2020
ALUNO-33,8.666666666666666,0.0,0,0.0,0,6.277773333333332,P,Não,10.0,Ágata,2,6.66667,7.5,4.5,7.083333333333334,13.0,0.0,3,7.013888333333334,M,1,2020
ALUNO-34,7.0,-1.0,0,2.0,0,7.944443333333334,R,Não,5.0,Ametista,3,8.500020000000001,6.875,9.3,8.125,12.0,1.0,2,7.698890666666667,F,0,2020
ALUNO-35,5.0,-1.0,0,3.0,0,8.29167,B,Não,5.0,Ágata,2,8.75001,6.25,6.1,7.65625,18.0,1.0,7,6.64396,F,0,2020
ALUNO-36,8.0,-1.0,0,1.0,0,8.222226666666668,R,Não,5.0,Ametista,3,9.58335,7.5,9.9,8.749999999999998,14.0,1.0,3,8.307780333333334,F,0,2020
ALUNO-37,2.5,0.0,0,2.0,0,7.77778,R,Não,10.0,Ágata,2,10.00002,4.375,7.7,6.458333333333333,10.0,0.0,2,6.6788913333333335,M,1,2020
ALUNO-39,8.333333333333334,0.0,0,3.0,0,6.777780000000001,P,Não,10.0,Ametista,3,6.24999,7.5,9.4,8.541666666666666,13.0,1.0,3,8.131388333333334,F,1,2020
ALUNO-41,7.25,-1.0,0,0.0,0,7.75,R,Não,5.0,Ametista,3,8.000020000000001,7.5,8.3,7.5,11.0,0.0,1,7.460002,M,0,2020
ALUNO-43,7.0,1.0,0,2.0,0,8.04167,R,Não,10.0,Ametista,3,7.5,7.5,7.5,7.96875,13.0,1.0,4,7.805209,F,0,2020
ALUNO-44,0.0,0.0,0,0.0,0,7.916665,R,Não,10.0,Ágata,2,9.000020000000001,7.5,6.8,6.25,9.0,0.0,1,6.218335,M,1,2020
ALUNO-45,10.0,-1.0,0,1.0,0,7.75,B,Não,5.0,Ágata,2,8.500020000000001,7.5,1.0,7.8125,11.0,0.0,1,6.631252,M,0,2020
ALUNO-46,0.0,0.0,0,0.0,0,7.583335,R,Não,10.0,Ágata,2,9.50002,7.5,10.0,7.5,8.0,1.0,0,6.966669,F,1,2020
ALUNO-51,10.0,0.0,0,1.0,0,7.416665,R,Não,10.0,Topázio,4,9.50002,7.5,9.8,8.125,8.0,0.0,0,8.955835,M,1,2020
ALUNO-52,7.0,0.0,0,2.0,0,8.22222,R,Não,10.0,Ametista,3,10.00002,6.25,8.6,7.916666666666668,10.0,0.0,2,8.181112666666667,M,1,2020
ALUNO-53,8.2,0.0,1,4.0,1,0.0,B,,10.0,Topázio,4,9.16668,7.5,10.0,0.0,15.0,1.0,5,8.696667999999999,F,1,2020
ALUNO-55,6.333333333333333,-1.0,1,3.0,1,8.666667499999999,B,Sim,5.0,Ágata,2,0.0,7.5,9.0,8.28125,17.0,1.0,6,6.878125166666666,F,0,2020
ALUNO-57,5.833333333333333,0.0,0,2.0,1,7.5833325,B,Não,10.0,Ametista,3,8.33334,6.25,7.1,7.5,16.0,0.0,6,7.311667166666667,M,1,2020
ALUNO-59,6.0,0.0,0,0.0,0,6.444439999999998,R,Não,10.0,Ágata,2,8.75001,7.5,3.6,7.291666666666667,13.0,0.0,3,6.563055666666668,M,1,2020
ALUNO-60,6.666666666666667,-2.0,0,4.0,1,8.124995,R,Não,5.0,Ametista,3,7.5,6.875,9.7,8.4375,17.0,0.0,5,7.679582333333333,M,0,2020
ALUNO-61,0.0,-1.0,0,0.0,0,7.333333333333333,P,Não,5.0,Quartzo,1,9.000020000000001,7.5,6.5,6.875,10.0,1.0,1,5.604168666666667,F,0,2020
ALUNO-62,3.5,-1.0,0,0.0,0,7.5,B,Não,5.0,Ágata,2,7.916679999999999,7.5,6.9,7.083333333333333,12.0,0.0,2,6.330001333333334,M,0,2020
ALUNO-68,0.0,-1.0,0,0.0,0,8.0,R,Não,5.0,Quartzo,1,9.000020000000001,7.5,7.6,7.1875,10.0,0.0,1,5.988752,M,0,2020
ALUNO-71,9.5,-2.0,0,1.0,0,7.749995,P,Não,5.0,Ametista,3,8.500020000000001,5.0,10.0,2.5,10.0,1.0,0,7.550001,F,0,2020
ALUNO-75,9.0,1.0,1,1.0,1,9.75001,R,Sim,10.0,Topázio,4,10.00002,10.0,10.0,9.375,11.0,1.0,3,9.687504,F,0,2020
ALUNO-76,10.0,0.0,0,0.0,0,6.58333,B,Não,10.0,Topázio,4,8.91668,10.0,10.0,7.5,7.0,1.0,0,8.958334,F,1,2020
ALUNO-78,5.5,-1.0,0,3.0,0,7.666665,R,Não,5.0,Ametista,3,9.50002,7.5,9.0,7.1875,10.0,1.0,1,7.352085,F,0,2020
ALUNO-80,0.0,0.0,0,1.0,0,7.444443333333333,B,Não,10.0,Ágata,2,6.91668,7.5,9.2,7.291666666666667,10.0,0.0,2,6.499723333333334,M,1,2020
ALUNO-81,6.0,-1.0,1,1.0,0,9.11112,A,Sim,5.0,Ametista,3,5.41667,7.5,8.8,8.125,15.0,1.0,4,7.386391000000001,F,0,2020
ALUNO-82,8.5,-1.0,0,0.0,0,7.333335,B,Não,5.0,Ametista,3,8.500020000000001,7.5,10.0,6.875,9.0,1.0,0,7.954169,F,0,2020
ALUNO-83,5.333333333333333,0.0,1,4.0,1,9.166676666666666,B,Sim,10.0,Ametista,3,9.16668,5.625,9.4,8.958333333333332,14.0,1.0,4,8.155003333333333,F,1,2020
ALUNO-84,8.5,0.0,0,0.0,0,6.999995,B,Não,10.0,Topázio,4,9.000020000000001,10.0,10.0,7.5,8.0,1.0,0,8.750001000000001,F,1,2020
ALUNO-85,10.0,-1.0,0,1.0,0,6.66666,B,Não,5.0,Ágata,2,9.50002,2.5,9.9,2.5,9.0,0.0,0,7.263334,M,0,2020
ALUNO-86,3.6666666666666665,-1.0,0,1.0,0,5.7083325,R,Não,5.0,Quartzo,1,8.33334,7.5,4.9,7.5,17.0,0.0,6,5.688333833333334,M,0,2020
ALUNO-87,6.666666666666667,0.0,1,4.0,1,8.722226666666666,B,Sim,10.0,Ametista,3,8.33334,5.625,9.2,8.749999999999998,14.0,1.0,4,8.188612666666666,F,1,2020
ALUNO-88,9.5,0.0,1,2.0,1,9.58334,B,Sim,10.0,Topázio,4,10.00002,7.5,9.4,5.9375,11.0,1.0,2,9.04042,F,1,2020
ALUNO-89,7.5,-1.0,0,1.0,0,7.5,P,Não,5.0,Ametista,3,10.00002,7.5,10.0,6.875,9.0,1.0,0,7.937502,F,0,2020
ALUNO-90,7.666666666666667,-1.0,0,1.0,0,7.5000025,R,Não,5.0,Ágata,2,8.33334,7.5,5.8,7.96875,14.0,0.0,3,7.073542833333333,M,0,2020
ALUNO-91,4.5,0.0,0,2.0,0,7.58333,B,Não,10.0,Ágata,2,9.000020000000001,6.875,6.4,5.625,10.0,1.0,2,6.846668,F,1,2020
ALUNO-94,4.0,0.0,0,1.0,0,7.5000025,B,Não,10.0,Ágata,2,7.08333,7.5,6.0,7.96875,12.0,1.0,3,6.7552085,F,1,2020
ALUNO-95,6.666666666666667,-2.0,0,1.0,0,6.791665,R,Não,5.0,Ametista,3,9.58335,7.5,8.2,7.96875,15.0,1.0,3,7.336876333333333,F,0,2020
ALUNO-96,3.0,-1.0,1,1.0,0,8.791664999999998,R,Sim,5.0,Ágata,2,9.16668,6.875,6.1,7.5,18.0,0.0,7,6.432500999999999,M,0,2020
ALUNO-97,6.0,-1.0,0,2.0,0,7.75,R,Não,5.0,Ametista,3,9.50002,7.5,8.0,8.4375,12.0,1.0,2,7.393752,F,0,2020
ALUNO-100,7.5,-2.0,0,2.0,0,7.916665,R,Não,5.0,Ágata,2,9.000020000000001,4.375,6.5,6.875,12.0,1.0,1,6.908335000000001,F,0,2020
ALUNO-102,7.0,0.0,0,0.0,0,7.833333333333333,R,Não,10.0,Ametista,3,8.000020000000001,7.5,8.5,7.5,9.0,0.0,1,7.966668666666667,M,1,2020
ALUNO-103,8.5,0.0,0,0.0,0,7.333335,B,Não,10.0,Topázio,4,9.000020000000001,7.5,10.0,7.8125,8.0,1.0,0,8.597919000000001,F,1,2020
ALUNO-105,8.0,0.0,0,0.0,0,7.66667,B,Não,10.0,Topázio,4,9.16668,7.5,9.6,7.96875,13.0,1.0,3,8.516877,F,1,2020
ALUNO-106,10.0,-2.0,0,0.0,0,7.5,R,Não,5.0,Ametista,3,9.50002,7.5,10.0,7.5,10.0,1.0,0,8.450002,F,0,2020
ALUNO-111,4.5,-1.0,0,0.0,0,7.8750025,B,Não,5.0,Ágata,2,7.91667,7.5,7.7,7.96875,14.0,1.0,3,6.8535425,F,0,2020
ALUNO-112,5.333333333333333,-1.0,0,2.0,0,7.611103333333333,B,Não,5.0,Ágata,2,7.91667,4.375,6.8,7.708333333333334,14.0,1.0,3,6.448887666666667,F,0,2020
