nome,ida,diff_fase,ponto_virada_encoded,anos_pm,bolsista_encoded,ipv,corraca,ponto_virada,ian,pedra,pedra_encoded,iaa,ips,ieg,ipp,idade,sexo_encoded,fase,inde,sexo,na_fase,ano,cg,cf,ct
ALUNO-2,8.816666666666666,-2.0,0,0.0,0,7.916665,B,Não,5.0,Ametista,3,10.00002,7.5,7.58170509886757,5.625,11.0,1.0,0,7.675509353106849,F,0,2022,245.0,66.0,6.0
ALUNO-4,0.0,-1.0,0,2.0,0,7.75,R,Não,5.0,Quartzo,1,8.000020000000001,6.875,4.1,7.1875,10.0,0.0,1,5.076252,M,0,2020,451.0,69.0,3.0
ALUNO-4,5.083333333333334,-1.0,0,0.0,0,8.055553333333334,R,Não,5.0,Ametista,3,10.00002,7.5,8.071428571428571,6.25,12.0,0.0,2,7.117065047619048,M,0,2022,451.0,69.0,3.0
ALUNO-5,7.5,0.0,0,1.0,0,8.166665,R,Não,10.0,Ametista,3,7.50002,7.5,8.0,8.4375,10.0,0.0,2,8.077085,M,1,2020,415.0,61.0,12.0
ALUNO-5,5.4,0.0,0,2.0,0,7.4,R,Não,10.0,Ametista,3,7.4,7.5,7.5,8.5,11.0,0.0,2,7.399,M,1,2021,415.0,61.0,12.0
ALUNO-5,7.083333333333334,-1.0,0,3.0,0,7.833336666666667,R,Não,5.0,Ametista,3,6.41668,7.5,8.557504873294347,6.458333333333334,12.0,0.0,2,7.232336307992202,M,0,2022,415.0,61.0,12.0
ALUNO-6,5.5,0.0,0,0.0,0,7.5,B,Não,10.0,Ametista,3,9.000020000000001,7.5,9.333333333333332,6.25,11.0,1.0,2,7.741668666666667,F,1,2022,221.0,35.0,2.0
ALUNO-7,5.583333333333334,-1.0,0,0.0,0,7.91667,B,Não,5.0,Ametista,3,10.00002,7.5,9.314954051796157,5.9375,11.0,0.0,1,7.406743477025898,M,0,2022,357.0,93.0,7.0
ALUNO-8,7.333333333333333,0.0,1,3.0,1,8.94445,R,Sim,10.0,Ametista,3,8.33334,4.375,9.9,8.749999999999998,14.0,1.0,4,8.381390666666666,F,1,2020,397.0,26.0,6.0
ALUNO-8,7.1,0.0,0,4.0,1,8.5,R,Não,10.0,Topázio,4,8.8,7.5,8.6,8.0,15.0,1.0,5,8.269,F,1,2021,397.0,26.0,6.0
ALUNO-8,7.144444444444445,-1.0,0,5.0,1,7.6250025,R,Não,5.0,Ametista,3,9.16668,5.0,8.268065268065268,7.65625,16.0,1.0,5,7.289795442501942,F,0,2022,397.0,26.0,6.0
ALUNO-9,2.133333333333333,0.0,0,0.0,0,5.50001,P,Não,10.0,Quartzo,1,9.000020000000001,5.0,6.820377689942907,3.75,8.0,0.0,0,5.665746204655248,M,1,2022,767.0,184.0,9.0
ALUNO-11,10.0,0.0,1,0.0,0,10.00001,R,Sim,10.0,Topázio,4,9.000020000000001,8.125,10.0,10.0,8.0,0.0,0,9.712504,M,1,2020,40.0,5.0,1.0
ALUNO-11,8.8,0.0,1,1.0,1,9.7,R,Sim,10.0,Topázio,4,9.0,6.3,10.0,7.7,9.0,0.0,1,8.99,M,1,2021,40.0,5.0,1.0
ALUNO-11,9.833333333333332,-1.0,1,2.0,1,9.50001,R,Sim,5.0,Topázio,4,8.000020000000001,7.5,9.198412698412698,7.083333333333332,10.0,0.0,1,8.464686539682539,M,0,2022,40.0,5.0,1.0
ALUNO-16,6.333333333333334,-1.0,0,0.0,0,6.722219999999999,R,Não,5.0,Ágata,2,8.500020000000001,6.875,9.33862433862434,4.791666666666666,11.0,1.0,1,6.995504201058202,F,0,2022,489.0,129.0,9.0
ALUNO-17,10.0,-2.0,0,2.0,0,7.75,B,Não,5.0,Ametista,3,9.50002,7.5,6.8,6.5625,13.0,0.0,1,7.766252,M,0,2020,580.0,142.0,6.0
ALUNO-17,2.6,-2.0,0,3.0,0,8.8,B,Não,5.0,Ágata,2,9.5,7.5,4.2,8.4,14.0,0.0,1,6.14,M,0,2021,580.0,142.0,6.0
ALUNO-17,5.5,-2.0,0,4.0,0,7.5,B,Não,5.0,Ágata,2,9.50002,7.5,6.647869674185464,5.9375,15.0,0.0,1,6.723325934837093,M,0,2022,580.0,142.0,6.0
ALUNO-18,6.5,-1.0,0,3.0,0,7.944446666666665,B,Não,5.0,Ágata,2,9.58335,7.5,7.0,7.083333333333334,14.0,0.0,3,7.2055576666666665,M,0,2020,746.0,68.0,7.0
ALUNO-18,5.3,-1.0,0,4.0,0,5.2,B,Não,5.0,Ágata,2,10.0,6.3,3.3,7.7,15.0,0.0,4,5.666,M,0,2021,746.0,68.0,7.0
ALUNO-18,5.222222222222222,-2.0,0,5.0,0,7.2499975,B,Não,5.0,Quartzo,1,0.0,8.125,6.287640056022409,7.8125,16.0,0.0,4,5.845721955648926,M,0,2022,746.0,68.0,7.0
ALUNO-19,4.6,-1.0,0,0.0,0,8.3,R,Não,5.0,Ágata,2,9.0,7.5,6.3,7.7,13.0,0.0,2,6.751,M,0,2021,188.0,29.0,2.0
ALUNO-19,7.466666666666667,-1.0,0,1.0,0,8.111113333333334,R,Não,5.0,Ametista,3,10.00002,7.5,9.054621848739496,6.666666666666666,13.0,0.0,2,7.843149036414566,M,0,2022,188.0,29.0,2.0
ALUNO-20,8.466666666666667,0.0,1,0.0,0,8.5,R,Sim,10.0,Topázio,4,10.00002,7.5,9.552042160737813,5.625,8.0,1.0,0,8.616243765480895,F,1,2022,28.0,3.0,1.0
ALUNO-21,5.166666666666667,-3.0,0,0.0,0,6.222216666666668,R,Não,2.5,Quartzo,1,7.91667,5.0,5.649085968379447,7.03125,16.0,0.0,3,5.652385860342557,M,0,2022,771.0,114.0,13.0
ALUNO-22,9.25,0.0,0,0.0,0,7.166665,R,Não,10.0,Topázio,4,8.000020000000001,7.5,8.982056590752244,4.6875,8.0,1.0,0,8.098496318150449,F,1,2022,116.0,32.0,7.0
ALUNO-23,9.25,-1.0,0,0.0,0,8.333335,P,Não,5.0,Ametista,3,8.000020000000001,7.5,7.7986963456071,6.5625,11.0,1.0,1,7.78265826912142,F,0,2022,208.0,51.0,3.0
ALUNO-24,6.75,0.0,1,0.0,0,8.611119999999998,B,Sim,10.0,Topázio,4,10.00002,6.875,9.320987654320987,6.458333333333333,11.0,1.0,2,8.26975686419753,F,1,2022,66.0,6.0,1.0
ALUNO-25,9.1,0.0,0,0.0,0,8.249995,R,Não,10.0,Ametista,3,7.50002,7.5,8.346320346320347,3.125,8.0,0.0,0,7.95176506926407,M,1,2022,154.0,42.0,3.0
ALUNO-26,9.166666666666666,-1.0,0,0.0,0,7.083335,R,Não,5.0,Ametista,3,9.000020000000001,7.5,8.721340388007054,5.9375,9.0,1.0,0,7.738020410934745,F,0,2022,224.0,60.0,2.0
ALUNO-27,4.583333333333333,-2.0,0,0.0,0,7.111109999999999,R,Não,5.0,Ágata,2,9.000020000000001,7.5,6.493506493506493,5.625,14.0,0.0,2,6.350091965367965,M,0,2022,668.0,122.0,9.0
ALUNO-29,3.8,-2.0,0,0.0,0,7.9,R,Não,5.0,Ágata,2,9.6,7.5,5.3,7.5,15.0,1.0,3,6.342,F,0,2021,827.0,129.0,5.0
ALUNO-29,5.777777777777778,-3.0,0,1.0,0,5.7083325,R,Não,2.5,Quartzo,1,0.0,7.5,4.832296380090497,6.71875,16.0,1.0,3,4.935556331573656,F,0,2022,827.0,129.0,5.0
ALUNO-30,4.75,0.0,0,0.0,0,6.916665,B,Não,10.0,Ágata,2,7.916679999999999,7.5,10.0,2.5,7.0,1.0,0,7.125001,F,1,2020,122.0,34.0,5.0
ALUNO-30,9.1,-1.0,0,0.0,0,8.250005,B,Não,5.0,Topázio,4,10.00002,7.5,9.005163410197735,5.625,9.0,1.0,0,8.083535682039548,F,0,2022,122.0,34.0,5.0
ALUNO-31,7.466666666666667,0.0,0,0.0,0,6.666665,R,Não,10.0,Ametista,3,6.91668,7.5,7.317867317867318,5.3125,8.0,1.0,0,7.263157796906798,F,1,2022,408.0,119.0,6.0
ALUNO-32,4.0,-1.0,0,0.0,0,7.75,B,Não,5.0,Ágata,2,7.91667,7.5,8.333333333333334,7.34375,18.0,1.0,7,6.792708666666667,F,0,2022,558.0,12.0,7.0
ALUNO-34,7.0,-1.0,0,2.0,0,7.944443333333334,R,Não,5.0,Ametista,3,8.500020000000001,6.875,9.3,8.125,12.0,1.0,2,7.698890666666667,F,0,2020,599.0,78.0,4.0
ALUNO-34,5.5,-1.0,0,3.0,0,8.7,R,Não,5.0,Ágata,2,6.9,7.5,2.9,7.7,13.0,1.0,2,6.129,F,0,2021,599.0,78.0,4.0
ALUNO-34,6.111111111111111,-1.0,0,4.0,0,6.41666,R,Não,5.0,Ágata,2,7.5,7.5,7.056167617548691,7.5,14.0,1.0,3,6.666787745731961,F,0,2022,599.0,78.0,4.0
ALUNO-36,8.0,-1.0,0,1.0,0,8.222226666666668,R,Não,5.0,Ametista,3,9.58335,7.5,9.9,8.749999999999998,14.0,1.0,3,8.307780333333334,F,0,2020,538.0,46.0,8.0
ALUNO-36,4.7,-2.0,0,2.0,0,7.9,R,Não,5.0,Ágata,2,8.3,3.8,6.4,7.3,15.0,1.0,3,6.246,F,0,2021,538.0,46.0,8.0
ALUNO-36,5.877777777777777,-2.0,0,3.0,0,7.7916675,R,Não,5.0,Ágata,2,5.83333,6.25,8.074712643678161,7.96875,16.0,1.0,4,6.854039584291188,F,0,2022,538.0,46.0,8.0
ALUNO-37,2.5,0.0,0,2.0,0,7.77778,R,Não,10.0,Ágata,2,10.00002,4.375,7.7,6.458333333333333,10.0,0.0,2,6.6788913333333335,M,1,2020,292.0,45.0,8.0
ALUNO-37,6.5,0.0,0,3.0,0,6.7,R,Não,10.0,Ágata,2,0.0,6.9,5.4,7.5,11.0,0.0,2,6.154,M,1,2021,292.0,45.0,8.0
