nome,ano,anos_pm,bolsista_encoded,cg,diff_fase,iaa,ian,ida,idade,ieg,inde,ipp,ips,ipv,na_fase,ponto_virada_encoded,sexo_encoded
ALUNO-2,2022,0.0,0,245.0,-2.0,10.00002,5.0,8.816666666666666,11.0,7.58170509886757,7.675509353106849,5.625,7.5,7.916665,0,0,1.0
ALUNO-4,2020,2.0,0,451.0,-1.0,8.000020000000001,5.0,0.0,10.0,4.1,5.076252,7.1875,6.875,7.75,0,0,0.0
ALUNO-4,2022,0.0,0,451.0,-1.0,10.00002,5.0,5.083333333333334,12.0,8.071428571428571,7.117065047619048,6.25,7.5,8.055553333333334,0,0,0.0
ALUNO-5,2020,1.0,0,415.0,0.0,7.50002,10.0,7.5,10.0,8.0,8.077085,8.4375,7.5,8.166665,1,0,0.0
ALUNO-5,2021,2.0,0,415.0,0.0,7.4,10.0,5.4,11.0,7.5,7.399,8.5,7.5,7.4,1,0,0.0
ALUNO-5,2022,3.0,0,415.0,-1.0,6.41668,5.0,7.083333333333334,12.0,8.557504873294347,7.232336307992202,6.458333333333334,7.5,7.833336666666667,0,0,0.0
ALUNO-6,2022,0.0,0,221.0,0.0,9.000020000000001,10.0,5.5,11.0,9.333333333333332,7.741668666666667,6.25,7.5,7.5,1,0,1.0
ALUNO-7,2022,0.0,0,357.0,-1.0,10.00002,5.0,5.583333333333334,11.0,9.314954051796157,7.406743477025898,5.9375,7.5,7.91667,0,0,0.0
ALUNO-8,2020,3.0,1,397.0,0.0,8.33334,10.0,7.333333333333333,14.0,9.9,8.381390666666666,8.749999999999998,4.375,8.94445,1,1,1.0
ALUNO-8,2021,4.0,1,397.0,0.0,8.8,10.0,7.1,15.0,8.6,8.269,8.0,7.5,8.5,1,0,1.0
ALUNO-8,2022,5.0,1,397.0,-1.0,9.16668,5.0,7.144444444444445,16.0,8.268065268065268,7.289795442501942,7.65625,5.0,7.6250025,0,0,1.0
ALUNO-9,2022,0.0,0,767.0,0.0,9.000020000000001,10.0,2.133333333333333,8.0,6.820377689942907,5.665746204655248,3.75,5.0,5.50001,1,0,0.0
ALUNO-11,2020,0.0,0,40.0,0.0,9.000020000000001,10.0,10.0,8.0,10.0,9.712504,10.0,8.125,10.00001,1,1,0.0
ALUNO-11,2021,1.0,1,40.0,0.0,9.0,10.0,8.8,9.0,10.0,8.99,7.7,6.3,9.7,1,1,0.0
ALUNO-11,2022,2.0,1,40.0,-1.0,8.000020000000001,5.0,9.833333333333332,10.0,9.198412698412698,8.464686539682539,7.083333333333332,7.5,9.50001,0,1,0.0
ALUNO-16,2022,0.0,0,489.0,-1.0,8.500020000000001,5.0,6.333333333333334,11.0,9.33862433862434,6.995504201058202,4.791666666666666,6.875,6.722219999999999,0,0,1.0
ALUNO-17,2020,2.0,0,580.0,-2.0,9.50002,5.0,10.0,13.0,6.8,7.766252,6.5625,7.5,7.75,0,0,0.0
ALUNO-17,2021,3.0,0,580.0,-2.0,9.5,5.0,2.6,14.0,4.2,6.14,8.4,7.5,8.8,0,0,0.0
ALUNO-17,2022,4.0,0,580.0,-2.0,9.50002,5.0,5.5,15.0,6.647869674185464,6.723325934837093,5.9375,7.5,7.5,0,0,0.0
ALUNO-18,2020,3.0,0,746.0,-1.0,9.58335,5.0,6.5,14.0,7.0,7.2055576666666665,7.083333333333334,7.5,7.944446666666665,0,0,0.0
ALUNO-18,2021,4.0,0,746.0,-1.0,10.0,5.0,5.3,15.0,3.3,5.666,7.7,6.3,5.2,0,0,0.0
ALUNO-18,2022,5.0,0,746.0,-2.0,0.0,5.0,5.222222222222222,16.0,6.287640056022409,5.845721955648926,7.8125,8.125,7.2499975,0,0,0.0
ALUNO-19,2021,0.0,0,188.0,-1.0,9.0,5.0,4.6,13.0,6.3,6.751,7.7,7.5,8.3,0,0,0.0
ALUNO-19,2022,1.0,0,188.0,-1.0,10.00002,5.0,7.466666666666667,13.0,9.054621848739496,7.843149036414566,6.666666666666666,7.5,8.111113333333334,0,0,0.0
ALUNO-20,2022,0.0,0,28.0,0.0,10.00002,10.0,8.466666666666667,8.0,9.552042160737813,8.616243765480895,5.625,7.5,8.5,1,1,1.0
ALUNO-21,2022,0.0,0,771.0,-3.0,7.91667,2.5,5.166666666666667,16.0,5.649085968379447,5.652385860342557,7.03125,5.0,6.222216666666668,0,0,0.0
ALUNO-22,2022,0.0,0,116.0,0.0,8.000020000000001,10.0,9.25,8.0,8.982056590752244,8.098496318150449,4.6875,7.5,7.166665,1,0,1.0
ALUNO-23,2022,0.0,0,208.0,-1.0,8.000020000000001,5.0,9.25,11.0,7.7986963456071,7.78265826912142,6.5625,7.5,8.333335,0,0,1.0
ALUNO-24,2022,0.0,0,66.0,0.0,10.00002,10.0,6.75,11.0,9.320987654320987,8.26975686419753,6.458333333333333,6.875,8.611119999999998,1,1,1.0
ALUNO-25,2022,0.0,0,154.0,0.0,7.50002,10.0,9.1,8.0,8.346320346320347,7.95176506926407,3.125,7.5,8.249995,1,0,0.0
ALUNO-26,2022,0.0,0,224.0,-1.0,9.000020000000001,5.0,9.166666666666666,9.0,8.721340388007054,7.738020410934745,5.9375,7.5,7.083335,0,0,1.0
ALUNO-27,2022,0.0,0,668.0,-2.0,9.000020000000001,5.0,4.583333333333333,14.0,6.493506493506493,6.350091965367965,5.625,7.5,7.111109999999999,0,0,0.0
ALUNO-29,2021,0.0,0,827.0,-2.0,9.6,5.0,3.8,15.0,5.3,6.342,7.5,7.5,7.9,0,0,1.0
ALUNO-29,2022,1.0,0,827.0,-3.0,0.0,2.5,5.777777777777778,16.0,4.832296380090497,4.935556331573656,6.71875,7.5,5.7083325,0,0,1.0
ALUNO-30,2020,0.0,0,122.0,0.0,7.916679999999999,10.0,4.75,7.0,10.0,7.125001,2.5,7.5,6.916665,1,0,1.0
ALUNO-30,2022,0.0,0,122.0,-1.0,10.00002,5.0,9.1,9.0,9.005163410197735,8.083535682039548,5.625,7.5,8.250005,0,0,1.0
ALUNO-31,2022,0.0,0,408.0,0.0,6.91668,10.0,7.466666666666667,8.0,7.317867317867318,7.263157796906798,5.3125,7.5,6.666665,1,0,1.0
ALUNO-32,2022,0.0,0,558.0,-1.0,7.91667,5.0,4.0,18.0,8.333333333333334,6.792708666666667,7.34375,7.5,7.75,0,0,1.0
ALUNO-34,2020,2.0,0,599.0,-1.0,8.500020000000001,5.0,7.0,12.0,9.3,7.698890666666667,8.125,6.875,7.944443333333334,0,0,1.0
ALUNO-34,2021,3.0,0,599.0,-1.0,6.9,5.0,5.5,13.0,2.9,6.129,7.7,7.5,8.7,0,0,1.0
ALUNO-34,2022,4.0,0,599.0,-1.0,7.5,5.0,6.111111111111111,14.0,7.056167617548691,6.666787745731961,7.5,7.5,6.41666,0,0,1.0
ALUNO-36,2020,1.0,0,538.0,-1.0,9.58335,5.0,8.0,14.0,9.9,8.307780333333334,8.749999999999998,7.5,8.222226666666668,0,0,1.0
ALUNO-36,2021,2.0,0,538.0,-2.0,8.3,5.0,4.7,15.0,6.4,6.246,7.3,3.8,7.9,0,0,1.0
ALUNO-36,2022,3.0,0,538.0,-2.0,5.83333,5.0,5.877777777777777,16.0,8.074712643678161,6.854039584291188,7.96875,6.25,7.7916675,0,0,1.0
ALUNO-37,2020,2.0,0,292.0,0.0,10.00002,10.0,2.5,10.0,7.7,6.6788913333333335,6.458333333333333,4.375,7.77778,1,0,0.0
ALUNO-37,2021,3.0,0,292.0,0.0,0.0,10.0,6.5,11.0,5.4,6.154,7.5,6.9,6.7,1,0,0.0
ALUNO-37,2022,4.0,0,292.0,-1.0,8.500020000000001,5.0,7.333333333333333,12.0,9.041585445094215,7.55554175568551,6.25,7.5,7.777779999999999,0,0,0.0
ALUNO-38,2021,0.0,0,590.0,0.0,3.8,10.0,5.1,13.0,6.9,6.847,7.5,7.5,7.8,1,0,1.0
ALUNO-38,2022,1.0,0,590.0,-1.0,9.16668,5.0,5.666666666666667,14.0,6.721726190476191,6.695387571428572,7.34375,6.25,7.20833,0,0,1.0
ALUNO-42,2021,0.0,0,849.0,0.0,10.0,10.0,4.0,8.0,6.7,6.802,7.2,7.5,6.0,1,0,0.0
ALUNO-42,2022,1.0,0,849.0,0.0,9.000020000000001,10.0,2.5,8.0,3.148809523809524,4.279765904761905,0.0,7.5,2.50001,1,0,0.0
ALUNO-45,2020,1.0,0,576.0,-1.0,8.500020000000001,5.0,10.0,11.0,1.0,6.631252,7.8125,7.5,7.75,0,0,0.0
ALUNO-45,2022,0.0,0,576.0,-1.0,7.916679999999999,5.0,5.0,13.0,9.166666666666666,6.730556,6.25,6.25,6.777773333333332,0,0,0.0
ALUNO-46,2020,0.0,0,362.0,0.0,9.50002,10.0,0.0,8.0,10.0,6.966669,7.5,7.5,7.583335,1,0,1.0
ALUNO-46,2021,1.0,0,362.0,0.0,8.5,10.0,6.9,9.0,10.0,8.471,8.1,7.5,8.4,1,0,1.0
ALUNO-46,2022,2.0,0,362.0,0.0,8.500020000000001,10.0,5.0,10.0,9.082456140350876,7.398436561403509,6.041666666666667,7.5,6.888883333333333,1,0,1.0
ALUNO-47,2021,0.0,0,254.0,-1.0,8.5,5.0,4.0,11.0,6.3,6.056,7.5,7.5,5.8,0,0,0.0
ALUNO-47,2022,1.0,0,254.0,-1.0,8.500020000000001,5.0,7.416666666666666,11.0,10.0,7.65278,6.25,7.5,7.222223333333333,0,0,0.0
ALUNO-48,2022,0.0,0,855.0,-1.0,5.41667,5.0,0.0,16.0,3.803571428571429,3.914881285714285,5.625,6.25,4.625,0,0,1.0
ALUNO-49,2022,0.0,0,54.0,-1.0,9.50002,5.0,8.166666666666666,9.0,10.0,8.339586333333333,6.5625,7.5,9.250005,0,1,1.0
ALUNO-50,2022,0.0,0,823.0,0.0,0.0,10.0,3.055555555555556,13.0,4.630580097651709,4.966393630641453,5.625,7.5,5.5833325,1,0,0.0
ALUNO-51,2020,1.0,0,504.0,0.0,9.50002,10.0,10.0,8.0,9.8,8.955835,8.125,7.5,7.416665,1,0,0.0
ALUNO-51,2021,2.0,0,504.0,0.0,9.0,10.0,5.4,9.0,9.2,8.051,7.7,7.5,8.6,1,0,0.0
ALUNO-51,2022,3.0,0,504.0,-1.0,9.000020000000001,5.0,5.083333333333334,10.0,9.203448275862067,6.953190321839081,5.625,7.5,6.91666,0,0,0.0
ALUNO-56,2021,0.0,0,861.0,-1.0,8.8,5.0,5.5,17.0,7.5,6.777,7.8,5.6,7.2,0,0,0.0
ALUNO-56,2022,1.0,0,861.0,-1.0,0.0,5.0,0.4444444444444445,18.0,3.597794117647059,3.036573379084968,3.28125,5.0,4.500003333333333,0,0,0.0
ALUNO-58,2022,0.0,0,386.0,-1.0,7.91667,5.0,6.888888888888889,14.0,7.991071428571429,7.305158063492064,8.125,7.5,7.374995,0,0,1.0
ALUNO-60,2020,4.0,1,753.0,-2.0,7.5,5.0,6.666666666666667,17.0,9.7,7.679582333333333,8.4375,6.875,8.124995,0,0,0.0
ALUNO-60,2021,5.0,1,753.0,-2.0,7.9,5.0,6.1,18.0,7.5,6.956,7.2,6.9,7.7,0,0,0.0
ALUNO-60,2022,6.0,0,753.0,-1.0,8.33334,5.0,4.044444444444444,19.0,4.129901960784314,5.783132947712418,7.96875,5.625,7.277773333333332,0,0,0.0
ALUNO-61,2020,0.0,0,658.0,-1.0,9.000020000000001,5.0,0.0,10.0,6.5,5.604168666666667,6.875,7.5,7.333333333333333,0,0,1.0
ALUNO-61,2021,1.0,0,658.0,-1.0,0.0,5.0,0.0,11.0,1.3,3.017,6.9,5.6,5.1,0,0,1.0
ALUNO-61,2022,2.0,0,658.0,-1.0,10.00002,5.0,2.5,12.0,7.787878787878788,6.410355757575758,6.25,7.5,7.38889,0,0,1.0
ALUNO-63,2022,0.0,0,594.0,-1.0,9.50002,5.0,5.083333333333334,9.0,8.544103313840155,6.683821329434698,5.625,5.625,6.91666,0,0,1.0
ALUNO-64,2022,0.0,0,839.0,-2.0,8.75001,5.0,2.833333333333333,15.0,3.611111111111112,4.664931388888889,4.84375,7.5,3.8333325,0,0,0.0
ALUNO-65,2021,0.0,0,146.0,-1.0,10.0,5.0,6.9,9.0,10.0,8.438,8.1,7.5,10.0,0,1,0.0
ALUNO-65,2022,1.0,1,146.0,-1.0,10.00002,5.0,8.166666666666666,11.0,9.555555555555555,7.987503111111112,6.25,5.625,8.777783333333334,0,1,0.0
ALUNO-66,2021,0.0,0,442.0,-1.0,8.0,5.0,5.9,13.0,6.3,6.875,8.5,7.5,7.7,0,0,1.0
ALUNO-66,2022,1.0,0,442.0,0.0,6.66667,10.0,7.777777777777779,13.0,5.784722222222221,7.171874500000001,7.34375,7.5,6.5416625,1,0,1.0
ALUNO-67,2021,0.0,0,564.0,-1.0,7.4,5.0,1.1,11.0,3.3,4.939,8.3,7.5,6.1,0,0,1.0
ALUNO-67,2022,1.0,0,564.0,-1.0,9.000020000000001,5.0,5.583333333333333,11.0,7.88220551378446,6.770192769423559,5.9375,5.0,7.916665,0,0,1.0
ALUNO-69,2022,0.0,0,272.0,-1.0,10.00002,5.0,7.883333333333333,9.0,7.545642763034067,7.598297219273481,5.625,7.5,8.5,0,1,0.0
ALUNO-70,2022,0.0,0,84.0,0.0,10.00002,10.0,6.5,11.0,8.833333333333332,8.205557333333335,6.666666666666666,7.5,8.61111,1,1,1.0
ALUNO-72,2022,0.0,0,227.0,-1.0,7.50002,5.0,8.833333333333332,9.0,8.602540834845735,7.728843833635814,5.625,8.125,8.083335,0,0,1.0
ALUNO-73,2022,0.0,0,586.0,-2.0,8.33334,5.0,6.5,16.0,6.992521367521367,6.712044773504273,6.71875,7.5,6.2916575,0,0,1.0
